categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,VENTILACIÓN MECÁNICA NO INVASIVA EN PACIENTES ONCOLÓGICOS. UNA REVISIÓN DE TEMA Fundación Universitaria Maria Cano,2021
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Beneficios Del Ejercicio Terapéutico Sobre El Síndrome de desacondicionamiento físico post-UCI Una Revisión de Tema Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,INTERVENCIÓN DE FISIOTERAPIA RESPIRATORIA DOMICILIARIA EN UNA PACIENTE CON ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA. UN REPORTE DE CASO Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿INTERVENCIÓN FISIOTERAPÉUTICA EN PACIENTE CON SOPORTE VENTILATORIO. REVISIÓN DE LA LITERATURA Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,PROTOCOLOS DE MOVILIZACIÓN PRECOZ EN EL PACIENTE CRÍTICO. UNA REVISIÓN DE LA LITERATURA Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Efectividad de la ventilación mecánica no invasiva en el paciente con Covid-19. Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,EL MANEJO DE LA HIPOXEMIA EN PACIENTES CON VENTILACIÓN MECÁNICA EN PACIENTES. UNA REVISIÒN DE TEMA¿ Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,"EFECTOS DEL EJERCICIO FÍSICO A NIVEL OSTEO MUSCULAR EN PACIENTES CON VENTILACIÓN MECÁNICA, UNA REVISIÓN DE LITERATURA¿ Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,MODOS DE VENTILACIÓN MECÁNICAS USADOS EN ADULTOS CON SARS-COV-2. UNA REFLEXIÓN Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,EL PAPEL DE LA FISIOTERAPIA EN PACIENTES POST COVID-19.UNA REVISIÓN DE TEMA Fundación Universitaria Maria Cano,2020
