tipo,nodo_padre,nombre_grupo_investigacion,sigla_grupo_investigacion,titulo,autor_1,autor_2,autor_3,autor_4,autor_5,issn,isbn,revista,ano
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,Concierto Didáctico en la Fundación Vida Sana Salem de Santiago de Cali,,,,,,,,,2023
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,Concierto Didáctico en la Corporación Educativa Adventista -CEA- Sede Alfonso López sección bachillerato en la ciudad de Cali,,,,,,,,,2023
Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,Praxis Musical ,Praxis Musical,Concierto Didáctico en el Instituto Colombo Venezolano -Icolven,,,,,,,,,2023
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,Aportaciones investigativas desde las Ciencias Administrativas y Contables,ENOC IGLESIAS ORTEGA,,,,,,,,2022
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,"UNACIENCIA. Revista de Estudios e Investigaciones. Vol. 14, No. 27",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,"Revista Internacional de Estudios en Educación. Vol. 21, No. 2",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,"Revista Internacional de Estudios en Educación. Vol. 22, No. 1,",ENOC IGLESIAS ORTEGA,,,,,,,,2022
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,"UNACIENCIA. Revista de Estudios e Investigaciones. Volumen 14, Número 26,",ENOC IGLESIAS ORTEGA,,,,,,,,2021
Documento de trabajo,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,Innovaciones de estrategias docentes para mejorar la educación. Propuestas desde la investigación.,ENOC IGLESIAS ORTEGA,,,,,,,,2021
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,V Congreso de Investigación Universitaria de la División Interamericana,,,,,,,,,2023
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,"4 CIDIA: Cuarto congreso internacional de la División interamericana: Investigación, desarrollo e innovación: repensando la misión de la educación adventista",,,,,,,,,2021
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,Primer Encuentro Internacional de Investigación en torno a la Guitarra,,,,,,,,,2021
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,III Coloquio Internacional de Investigación en Artes,,,,,,,,,2020
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,Cuarto Congreso Internacional de Musica Para banda,,,,,,,,,2014
Evento científico,Divulgación Pública de la Ciencia,Praxis Musical ,Praxis Musical,Jornada de investigación de grups de la facultad de educación,,,,,,,,,2011
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Evaluación de la efectividad de la inteligencia artificial, como recurso motivacional en la enseñanza de la Química para estudiantes del grado 10 - B del Colegio Adventista de Ibagué",JORGE HOYOS RENTERIA,LEONARDO MAURIS DE LA OSSA,,,,,,,2023
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,La Tuna Tambora de Caucasia y Cáceres.,HECTOR FABIAN PALACIOS VANEGAS,JORGE HOYOS RENTERIA,,,,,,,2023
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Canciones Cristianas Contemporáneas: Catálogo de Transcripciones.,HECTOR FABIAN PALACIOS VANEGAS,JORGE HOYOS RENTERIA,,,,,,,2023
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Antología del Himnario Adventista: Una Edición Práctica.,HECTOR FABIAN PALACIOS VANEGAS,JORGE HOYOS RENTERIA,,,,,,,2023
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Potenciando la Creación, Actualización e Innovación del Proyecto Educativo Institucional - PEI del Sistema Educativo Adventista de la Unión Colombiana del Norte",GELVER PEREZ PULIDO,GUSTAVO ADOLFO PHEREZ GOMEZ,,,,,,,2023
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Adaptación de la Metodología de Joan Chamorro a un Repertorio Variado de Nivel Inicial de Cuerdas Frotadas para Personas con Discapacidad Visual.,HECTOR FABIAN PALACIOS VANEGAS,YAZMIN ROSSANA ARDILA QUINONES,,,,,,,2023
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Influencia de la Inteligencia Artificial como Recurso Educativo en Procesos de Enseñanza - Aprendizaje en el Tema de Biomas de la Tierra Implementando el Inglés como Segunda Lengua en Estudiantes del Grado Octavo del Colegio Adventista CEA Cámbulos,GELVER PEREZ PULIDO,LEONARDO MAURIS DE LA OSSA,,,,,,,2023
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Transformación del acompañamiento familiar: una experiencia desde la escuela de padres,JENIFFER XIMENA VEGA FAJARDO,JORGE HOYOS RENTERIA,,,,,,,2023
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Concierto Temático Sobre Salud Mental en Jóvenes Adultos para Cuarteto Vocal Mixto.,HECTOR FABIAN PALACIOS VANEGAS,JORGE HOYOS RENTERIA,,,,,,,2022
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Estrategias YULOAD para el Desarrollo del Pensamiento Crítico para Los Estudiantes de los Grados Séptimo, Octavo y Noveno del Colegio Adventista del Sur de Itagüí - Colombia.",ENOC IGLESIAS ORTEGA,SARAI ANA ORTEGA PINEDA,,,,,,,2022
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Análisis de la Experiencia Pedagógica en el Aula Respecto de los Conceptos de Inclusión, Neurodiversidad y Neurodivergencia",GELVER PEREZ PULIDO,SONIA LUCIA VARGAS AMEZQUITA,,,,,,,2022
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Diseño de un manual de actividades didácticas para la enseñanza y el aprendizaje creativos del inglés como idioma extranjero en el nivel A1 en el contexto educativo de la Corporación Universitaria Adventista (UNAC).,ENOC IGLESIAS ORTEGA,EULICES CORDOBA ZUNIGA,,,,,,,2022
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Herramientas Pedagógicas para la Enseñanza del Lenguaje Musical a Personas con Discapacidad Visual que Aspiran Acceder a un Pregrado en Música.,HECTOR FABIAN PALACIOS VANEGAS,YAZMIN ROSSANA ARDILA QUINONES,,,,,,,2022
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Diseño e Implementación de Herramientas Pedagógicas Musicales para Apoyar el Proceso de Lecto-Escritura en los Niños del Grado de Primero de Primaria de la Institución Educativa Lucrecio Jaramillo Vélez- Sección Agrupación Colombia,HECTOR FABIAN PALACIOS VANEGAS,YAZMIN ROSSANA ARDILA QUINONES,,,,,,,2022
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"El aula invertida en el aprendizaje de las matemáticas: Colegio Adventista de Lérida, Tolima",SARAI ANA ORTEGA PINEDA,,,,,,,,2022
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Conocimiento, actitud y práctica en el grado de inmersión para la integración de la fe en la enseñanza y el aprendizaje en los colegios del Sistema Educativo Adventista en el Noreste colombiano",SARAI ANA ORTEGA PINEDA,,,,,,,,2022
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Repertorio de las Practicas Musicales de la Unac. Compilación y Análisis.,GELVER PEREZ PULIDO,JORGE HOYOS RENTERIA,,,,,,,2021
Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,El aprendizaje cooperativo como estrategia de formación pedagógica en los docentes de educación básica primaria del Colegio Adventista Maranatha 2021-2022,ENOC IGLESIAS ORTEGA,,,,,,,,2021
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Experiencias Significativas Interdisciplinares de Licenciados en Música en el Área Artística.,GELVER PEREZ PULIDO,JORGE HOYOS RENTERIA,,,,,,,2021
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Creaciones Interdisciplinares para Quinteto de Bronces y Declamación de Poesía de León De Greiff.,GELVER PEREZ PULIDO,JORGE HOYOS RENTERIA,,,,,,,2021
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Salud Mental y Desempeño en el Instrumento Énfasis de los Estudiantes de Licenciatura en Música de la UNAC: Percepciones y Experiencias.,GELVER PEREZ PULIDO,JORGE HOYOS RENTERIA,,,,,,,2020
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Estructuración Curricular del Sistema Educativo Adventista en la UCN.,GELVER PEREZ PULIDO,JORGE HOYOS RENTERIA,,,,,,,2020
Monografía de conclusión de curso de perfeccionamiento/especialización,,Praxis Musical ,Praxis Musical,Estructuración Curricular: Área de Ciencias Sociales para las IES del Sistema Educativo Adventista.,ENOC IGLESIAS ORTEGA,,,,,,,,2020
Monografía de conclusión de curso de perfeccionamiento/especialización,,Praxis Musical ,Praxis Musical,"El Clima Organizacional y la Callidad Educativa en el Colegio Adventista Bethel de Saravena, durante el Segundo Semestre Escolar 2019.",ENOC IGLESIAS ORTEGA,,,,,,,,2019
Monografía de conclusión de curso de perfeccionamiento/especialización,,Praxis Musical ,Praxis Musical,"Revisión Documental sobre el Efecto de los Conflictos Intrafamiliares en el Proceso de Aprendizaje Académico de los Estudiantes de Primaria, Evidenciados en Artículos Colombianos y otros Países de 2014 a 2019.",ENOC IGLESIAS ORTEGA,,,,,,,,2014
Monografía de conclusión de curso de perfeccionamiento/especialización,,Praxis Musical ,Praxis Musical,Propuesta para la Enseñanza del Concepto Paz a partir de la Biblia desde una Perspectiva Disciplinar.,ENOC IGLESIAS ORTEGA,,,,,,,,2019
Tesis de doctorado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,La evaluación formativa por competencias de los procesos de aprendizaje. Una visión educativa cristiana integral en Colombia.,ENOC IGLESIAS ORTEGA,,,,,,,,2018
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Perspectivas de los maestros de clarinete y piano sobre el repertorio colombiano de música de cámara en niveles iniciales de la ciudad de Medellín,JORGE HOYOS RENTERIA,,,,,,,,2017
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Portal de pianistas y maestros de piano en Colombia,JOEL PADILLA RUIZ,,,,,,,,2011
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Método para el autoaprendizaje de los ritmos más representativos del folclor colombiano.,JOEL PADILLA RUIZ,,,,,,,,2011
Trabajos dirigidos/Tutorías de otro tipo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Manual práctico para la enseñanza y el aprendizaje de la armonía tonal aplicada en la música popular,JOEL PADILLA RUIZ,,,,,,,,2009
Trabajos de grado de pregrado,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,El Postmodernismo y la música Sacra,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2007
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,"Creación, Actualización e Innovación del PEI dentro de una Cultura Descontextualizada, Desarticulada y Antónima a la Indagaciòn Educativa",,,,,,,,,2022
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,El gesto y los nuevos modelos de concierto en la performance y creación musical de los docentes de la Corporación Universitaria Adventista,,,,,,,,,2020
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Fortalecimiento de la calidad en el currículo y la investigación formativa en el proceso de enseñanza,,,,,,,,,2019
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Estado del Arte para la construcción de la línea de investigación en pedagogía musical,,,,,,,,,2011
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Formulación de Línea de Investigación en Pedagogía Musical,,,,,,,,,2011
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,El Efecto Fisiológico de la Música Cristiana Contemporánea en la juventud Adventista,,,,,,,,,2010
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Diagnostico acerca de la utilización del software música como recurso didáctico en Medellín.,,,,,,,,,2009
Investigación y desarrollo,Formación del Recurso Humano,Praxis Musical ,Praxis Musical,Estado del arte La música y sus efectos.,,,,,,,,,2009
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Curso Virtual Musicografía Braille Nivel 1 2 y 3,MONICA PEREZ VALDERRAMA,,,,,,,,2022
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,"Curso Virtual Musicografía Braille Nivel 1, 2 y 3",MONICA PEREZ VALDERRAMA,,,,,,,,2022
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Curso Virtual Musicografía Braille Nivel 2,MONICA PEREZ VALDERRAMA,,,,,,,,2021
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Curso Virtual Musicografía Braille,MONICA PEREZ VALDERRAMA,,,,,,,,2021
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Curso Virtual Musicografía Braille,MONICA PEREZ VALDERRAMA,,,,,,,,2020
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,I Encuentro de Directores de colegios Adventistas de colombia y Venezuela,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2011
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Congreso de Músicos Adventistas,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2011
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Simposio de investigación en desarrollo cognitivo,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2011
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Jornada de Investigación,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2011
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Seminario de Filosofía de la Música Cristiana,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2010
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Seminario de Filosofía de la Música Cristiana,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2009
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Seminario de Filosofía de la Música Cristiana,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2009
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,DIPLOMADO EN DIRECCIÓN CORAL,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2009
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Seminario de Filosofía de la Música Cristiana,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2008
cursos corta duracion dictados,,Praxis Musical ,Praxis Musical,Seminario de Filosofía de la Música Cristiana,NELSON JAVIER BERRIO GRANDAS,,,,,,,,2005
