categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,Camino hacia una universidad sostenible en Latinoamérica,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,CAMINO HACIA UNA UNIVERSIDAD SOSTENIBLE,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,Example of a Logical Framework for the development of a productive and sustainable project in the Department of Antioquia - Colombia,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,Optimización de la Productividad en Granola mediante Ingeniería de Métodos,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,Gestión Basada en Procesos para la Mejora Continua en Educación y Sostenibilidad,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Textos en publicaciones no científicas,Divulgación Pública de la Ciencia,Consultorio logístico como espacio de enseñanza/aprendizaje en la Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Textos en publicaciones no científicas,Divulgación Pública de la Ciencia,"Implementación de espacios de aprendizaje en el Laboratorio Integral de Ingeniería Industrial de la UNAC, por medio de las guías de laboratorio diseñas para las asignaturas de Ingeniería aplicada",2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Innovaciones generadas de producción empresarial,Desarrollo Tecnológico e Innovación,GESTIÓN BASADA EN PROCESOS DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA UNAC,2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Software,Desarrollo Tecnológico e Innovación,PLATAFORMA PARA LA GESTIÓN DE LA INSCRIPCIÓN Y MATRÍCULA DE LOS ESTUDIANTES DEL CENTRO DE IDIOMAS DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Software,Desarrollo Tecnológico e Innovación,PLATAFORMA PARA LA GESTIÓN DE LA PLANEACIÓN ESTRATÉGICA PARA EL DEPARTAMENTO DE PLANEACIÓN DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2022
